grafo_id,n,p,optimizer,seed,r_final
2,8,2,random,7,0.829568
2,8,2,random,8,0.823007
2,8,2,random,9,0.834632
2,8,2,random,10,0.838043
2,8,2,random,11,0.841079
2,8,2,random,12,0.824865
2,8,2,random,13,0.8243
2,8,2,random,14,0.824254
2,8,2,random,15,0.824408
2,8,2,random,16,0.83166
2,8,2,random,17,0.840492
2,8,2,random,18,0.831254
2,8,2,random,19,0.831835
2,8,2,cobyla_restart,0,0.841897
2,8,2,cobyla_restart,1,0.841897
2,8,2,cobyla_restart,2,0.841897
2,8,2,cobyla_restart,3,0.841897
2,8,2,cobyla_restart,4,0.841897
2,8,2,cobyla_restart,5,0.841897
2,8,2,cobyla_restart,6,0.841897
2,8,2,cobyla_restart,7,0.841897
2,8,2,cobyla_restart,8,0.841897
2,8,2,cobyla_restart,9,0.841897
2,8,2,cobyla_restart,10,0.841897
2,8,2,cobyla_restart,11,0.841897
2,8,2,cobyla_restart,12,0.841897
2,8,2,cobyla_restart,13,0.841897
2,8,2,cobyla_restart,14,0.841897
2,8,2,cobyla_restart,15,0.841897
2,8,2,cobyla_restart,16,0.841897
2,8,2,cobyla_restart,17,0.841897
2,8,2,cobyla_restart,18,0.841897
2,8,2,cobyla_restart,19,0.841897
3,8,1,qiea,0,0.830009
3,8,1,qiea,1,0.830839
3,8,1,qiea,2,0.830804
3,8,1,qiea,3,0.829272
3,8,1,qiea,4,0.830009
3,8,1,qiea,5,0.830839
3,8,1,qiea,6,0.8309
3,8,1,qiea,7,0.830839
3,8,1,qiea,8,0.829272
3,8,1,qiea,9,0.829974
3,8,1,qiea,10,0.830839
3,8,1,qiea,11,0.829974
3,8,1,qiea,12,0.830839
3,8,1,qiea,13,0.8309
3,8,1,qiea,14,0.830936
3,8,1,qiea,15,0.830936
3,8,1,qiea,16,0.8309
3,8,1,qiea,17,0.830936
3,8,1,qiea,18,0.830804
3,8,1,qiea,19,0.830839
3,8,1,cobyla,0,0.83094
3,8,1,cobyla,1,0.83094
3,8,1,cobyla,2,0.83094
3,8,1,cobyla,3,0.83094
3,8,1,cobyla,4,0.83094
3,8,1,cobyla,5,0.83094
3,8,1,cobyla,6,0.83094
3,8,1,cobyla,7,0.83094
3,8,1,cobyla,8,0.83094
3,8,1,cobyla,9,0.83094
3,8,1,cobyla,10,0.83094
